"First Name","Last Name","Date of Birth (Y-m-d)",State,Sex,"Height (cm)","Weight (KG)"
Brandt,Heidenreich,1992-10-10,Idaho,male,198,57
Loma,Conroy,1971-11-21,NewMexico,female,155,57
Marco,Weber,1979-02-09,Oklahoma,female,179,70
Efren,Blick,1981-02-06,Michigan,male,159,115
Leila,Runte,1985-06-30,Texas,male,167,113
Leola,Grant,1979-07-18,Georgia,male,180,110
Leon,Williamson,1975-04-14,NorthCarolina,female,152,150
Estelle,Towne,1991-09-21,Montana,female,195,151
Derrick,Legros,1969-04-12,Oregon,male,186,100
Forrest,Rodriguez,1984-07-25,Tennessee,male,152,150
Tillman,Luettgen,1979-05-02,Maine,male,186,145
Doug,Roberts,1976-03-23,Texas,male,190,157
Marian,Zulauf,1977-08-19,Nevada,female,190,111
Leone,Bartoletti,1985-11-21,SouthDakota,male,171,132
Brady,Considine,1970-03-14,Pennsylvania,female,172,59
Cleveland,Mohr,1981-08-20,Minnesota,male,185,126
Leta,Breitenberg,1963-12-27,Nebraska,male,186,132
Elsa,Abernathy,1973-10-07,Alabama,male,165,119
Nayeli,Nienow,1978-05-17,Indiana,female,153,88
Emmet,Metz,1966-07-02,Virginia,male,163,93
Martin,Kovacek,1972-02-09,Maine,male,175,62
Carolyne,McDermott,1977-09-03,Nebraska,male,190,150
Jackeline,Nolan,1991-08-13,Vermont,female,157,126
Myron,Langworth,1973-04-04,Alaska,female,185,62
Torey,Lynch,1974-01-12,Colorado,female,192,110
Lolita,Quigley,1967-12-26,Georgia,male,178,76
Abe,Weissnat,1983-03-07,Utah,male,191,156
Abelardo,Welch,1985-11-13,Illinois,female,199,78
Lacey,Walter,1971-08-12,Massachusetts,male,152,85
Sarina,Hartmann,1974-11-08,Oklahoma,male,179,114
Christelle,Thompson,1965-06-18,Connecticut,female,151,58
Wallace,Rodriguez,1971-03-11,WestVirginia,male,166,145
Mathew,Breitenberg,1991-01-26,NorthDakota,male,179,51
Ubaldo,Douglas,1982-07-30,Missouri,male,170,129
Carleton,Grimes,1971-05-14,Arkansas,female,198,111
Colt,Gleason,1971-08-22,Oklahoma,male,180,61
Tobin,Goodwin,1979-08-28,Arkansas,male,196,150
Shanny,Ward,1989-01-13,Missouri,male,200,147
Ludwig,Lindgren,1964-10-28,Nevada,female,185,152
Weston,Dickinson,1975-10-02,Vermont,male,187,106
Christop,Brekke,1985-02-01,Washington,male,158,109
Darwin,Konopelski,1985-05-26,Delaware,male,186,144
Alexys,Beatty,1968-11-11,Virginia,male,158,98
Everardo,Jewess,1981-10-01,Indiana,female,165,142
Bernard,Satterfield,1966-01-31,Oklahoma,male,178,137
Jaleel,Schinner,1985-01-21,Oregon,male,168,93
Ardella,Huels,1991-04-18,Alabama,male,170,84
Kamryn,Sawayn,1988-04-28,Mississippi,male,171,83
Lennie,Hessel,1978-02-14,Louisiana,male,184,159
Anais,Kling,1976-05-03,Nebraska,female,163,129
Ernestina,Cremin,1973-09-12,Florida,male,172,147
Dustin,Kiehn,1981-12-08,Utah,male,184,115
Hellen,Welch,1977-09-08,Texas,female,189,133
Verla,Smitham,1980-08-08,SouthCarolina,male,195,56
Susie,Konopelski,1977-11-28,Ohio,male,187,118
Raphaelle,Fay,1991-07-05,Wyoming,female,155,158
Merritt,Greenholt,1968-04-09,Pennsylvania,female,180,92
Aryanna,Feil,1982-03-09,Minnesota,male,200,138
Chasity,Hayes,1964-02-12,WestVirginia,male,163,102
Madge,Gibson,1976-01-05,Colorado,female,173,132
Amanda,Senger,1964-08-18,Illinois,female,158,69
Kara,Jakubowski,1990-10-06,Montana,male,170,143
Kiara,Gislason,1980-02-16,Washington,male,175,118
Cyril,Davis,1982-02-17,Washington,male,150,107
Leonor,Heidenreich,1966-09-08,Idaho,female,169,76
Linnea,Abernathy,1985-11-14,Alaska,female,176,89
Gretchen,Bergstrom,1968-08-31,Tennessee,male,153,156
Mathew,Dietrich,1976-10-23,NorthDakota,female,196,155
Johan,Kiehn,1985-05-23,Colorado,male,153,74
Isaias,Lockman,1989-07-19,NewMexico,male,160,125
Orval,Bergstrom,1973-05-11,Maine,male,152,144
Payton,Hand,1975-09-25,NorthDakota,male,189,78
Geraldine,Schulist,1987-01-03,Kansas,female,155,132
Columbus,Orn,1979-02-11,Texas,male,159,134
Mozell,Botsford,1991-05-05,Louisiana,female,166,64
Lesly,Stamm,1979-06-12,Missouri,female,153,122
Marcia,Wolff,1983-09-09,Wyoming,female,190,129
Ross,Hansen,1967-01-14,Missouri,female,195,120
Harley,Hand,1982-08-07,Wisconsin,female,190,127
Abigayle,Ruecker,1987-04-25,Hawaii,female,158,149
Lamont,Maggio,1979-08-17,NorthDakota,female,164,155
Effie,Oberbrunner,1972-02-29,NewHampshire,female,178,131
Jan,West,1981-10-18,Mississippi,female,185,143
Imani,Steuber,1965-07-16,NewJersey,male,172,52
Brooke,Aufderhar,1972-11-28,Florida,male,186,88
Granville,Hauck,1980-01-11,Maryland,male,161,95
Darrel,Gerlach,1987-01-24,Vermont,female,153,72
Randall,D'Amore,1971-02-06,Wisconsin,male,195,60
Sasha,Gutkowski,1979-11-05,Montana,male,183,148
Elenor,Goyette,1980-08-19,Ohio,male,182,55
Lacey,Hintz,1982-04-24,Alabama,female,166,86
Chauncey,Johnson,1974-03-31,Illinois,female,192,149
Jayda,Fahey,1977-02-18,Pennsylvania,female,181,116
Aylin,Dicki,1975-09-15,Maine,female,156,55
Lyda,Pfeffer,1969-11-10,SouthDakota,female,170,134
Donato,Upton,1976-06-24,NorthDakota,male,191,158
Shawna,Grimes,1968-05-02,Arizona,female,194,55
Jacky,Hane,1992-12-10,Virginia,female,184,155
Major,Medhurst,1990-01-07,Massachusetts,male,154,117
Carlie,Bartoletti,1983-01-07,Wisconsin,female,160,77
Betty,Cartwright,1992-09-24,Maine,female,161,112
Jany,Armstrong,1968-05-28,California,female,159,94
Koby,Hand,1989-03-26,Illinois,male,194,51
Terrill,Tromp,1969-04-15,Georgia,male,170,66
Kayden,Conn,1992-08-03,Missouri,male,199,111
Alison,Daugherty,1967-02-02,Georgia,male,194,91
Jordon,Monahan,1991-12-12,Arkansas,male,159,78
Oran,Hirthe,1967-06-26,Illinois,male,186,152
Carmella,Hammes,1980-07-11,NorthCarolina,female,166,51
Korbin,Ferry,1985-08-21,NorthDakota,male,191,73
Jevon,Aufderhar,1981-11-14,NewYork,female,168,97
Dante,Lueilwitz,1966-01-30,Ohio,female,162,117
Mara,Kihn,1969-07-04,Virginia,male,151,103
Madilyn,Cormier,1978-07-13,Tennessee,male,171,148
Fanny,Kuvalis,1976-05-24,Oregon,female,192,145
Lola,Gerlach,1975-03-25,Georgia,male,151,131
Albert,Conn,1964-12-13,Pennsylvania,male,159,152
Clint,Kiehn,1987-02-10,NewMexico,male,170,120
Ruby,Konopelski,1974-07-03,Illinois,male,178,155
Mackenzie,Heidenreich,1993-12-21,California,male,167,135
Elwin,Orn,1989-05-15,Illinois,female,168,65
Leopoldo,Littel,1965-01-16,Maine,female,197,93
Rosalinda,Hilpert,1974-05-22,Oklahoma,male,197,97
Edwardo,Kunde,1987-02-07,Minnesota,female,197,144
Thad,Anderson,1967-02-03,WestVirginia,female,154,126
Jaquan,Runte,1966-07-04,Idaho,male,190,129
Oran,Hessel,1970-02-10,Connecticut,male,194,150
Amie,Gerlach,1968-10-19,Montana,male,160,85
Lukas,Pollich,1993-11-03,Mississippi,female,173,148
Silas,Roob,1987-10-14,SouthDakota,female,187,74
Wilson,Schiller,1970-10-18,NewMexico,female,160,113
Itzel,Cummings,1988-10-22,Michigan,male,156,106
Brycen,Huel,1971-02-07,Kansas,female,182,98
Einar,Hoppe,1964-10-02,Connecticut,female,183,90
Jaron,Ebert,1984-01-09,WestVirginia,male,178,99
Edward,Rohan,1988-07-22,Idaho,male,166,75
Celestino,Christiansen,1976-09-22,Minnesota,female,191,60
Brant,Donnelly,1991-05-06,SouthDakota,male,161,83
Cleve,Zemlak,1984-10-31,Louisiana,male,163,134
Emiliano,Dach,1981-09-06,Nebraska,male,163,103
Alysha,Stanton,1979-05-29,NewHampshire,female,151,126
Norberto,Monahan,1991-12-21,NewHampshire,male,198,139
Eliza,Waters,1976-09-18,Arizona,female,163,100
Mayra,Brakus,1974-12-16,Alaska,male,150,62
Therese,Hills,1964-06-11,Minnesota,female,180,124
Jazmyn,Cronin,1991-06-01,Tennessee,female,194,159
Jarret,Wiza,1983-02-09,Vermont,female,194,138
Vallie,Franecki,1989-06-09,Texas,male,190,52
Justus,Schumm,1968-07-27,Virginia,male,150,81
Jerrell,Roob,1974-04-15,Vermont,female,156,110
Elza,Fay,1989-09-03,Florida,male,173,114
Tony,Larkin,1965-02-13,Maryland,male,167,109
Nicklaus,Kuhic,1988-02-11,Maine,male,188,138
Sheridan,O'Hara,1985-02-11,Maine,female,181,139
Rosendo,Breitenberg,1964-02-19,Oklahoma,male,192,95
Colt,Zemlak,1988-12-23,Tennessee,male,174,81
Richard,Sawayn,1985-06-28,Washington,male,169,68
Dane,Turner,1979-09-07,NewJersey,male,168,156
Devyn,Lang,1987-06-30,Illinois,male,183,157
Cooper,Ritchie,1969-08-13,Hawaii,female,185,60
Millie,Rogahn,1965-10-05,Ohio,male,161,110
Madisyn,Fadel,1992-07-21,Vermont,male,172,149
Rudy,Muller,1990-01-19,Alaska,female,174,123
Nathanial,Johnston,1989-01-25,SouthCarolina,female,199,79
Zachary,Weber,1966-03-06,NewYork,male,178,60
Keeley,Mayert,1986-07-09,Delaware,male,192,114
Dillon,Ratke,1969-08-25,WestVirginia,male,154,155
Jaren,Wuckert,1980-01-12,Mississippi,male,157,85
Margarette,Bechtelar,1981-01-23,Georgia,male,160,157
Ludwig,Baumbach,1975-07-18,Iowa,female,179,124
Arjun,Price,1964-05-31,Iowa,male,174,149
Khalid,Abbott,1970-09-19,Utah,female,199,88
Rhiannon,Fisher,1973-03-19,NewMexico,female,200,142
Michel,Ullrich,1975-04-21,Massachusetts,female,191,138
Ashleigh,Wolff,1976-02-13,Mississippi,female,173,90
Damaris,Bayer,1977-07-14,Virginia,female,175,71
Conner,Zieme,1981-12-20,Idaho,female,192,81
Eden,Denesik,1986-12-17,Iowa,female,166,96
Arturo,Mann,1983-12-12,Michigan,female,189,120
Cesar,Lesch,1992-03-18,Arizona,male,160,73
Dan,Schuppe,1966-11-08,Montana,male,186,126
Domenick,Torp,1977-06-02,Oregon,female,190,122
Bertha,Keebler,1984-10-15,California,female,187,121
Maddison,Stehr,1978-07-08,Maryland,male,168,101
Breana,Schoen,1964-10-24,Kansas,female,163,152
Harvey,Kautzer,1987-06-08,Colorado,female,162,96
Lauryn,Stokes,1993-07-12,Nevada,male,190,77
Cornelius,McCullough,1987-04-26,Maryland,female,166,113
Cleve,Cronin,1965-12-12,Minnesota,male,157,88
Bernard,Kirlin,1985-01-17,Michigan,male,198,111
Ethyl,Langosh,1974-02-19,Vermont,male,171,80
Josiane,Kerluke,1986-11-01,SouthDakota,female,190,56
Joanie,Greenholt,1971-04-22,Iowa,male,176,139
Hoyt,Stroman,1983-01-31,NorthCarolina,female,153,68
Tyrel,Hessel,1989-03-04,Delaware,female,171,97
Clarissa,Frami,1992-11-24,Idaho,male,156,123
Colby,Kling,1980-02-07,Iowa,male,152,101
Cordelia,Mann,1969-05-07,NewHampshire,male,161,136
Ellis,Pollich,1966-07-05,Hawaii,male,192,153
Brian,Corkery,1967-11-18,WestVirginia,female,153,147
Dixie,Schneider,1977-03-22,WestVirginia,male,176,82
Josefa,Marquardt,1980-08-25,Connecticut,male,183,59
Vicky,Ondricka,1969-08-15,Colorado,male,173,116
Kayla,Schaefer,1966-01-15,NewMexico,male,195,123
Jayce,Erdman,1973-01-12,WestVirginia,female,190,59
Paul,Kertzmann,1977-06-26,NorthCarolina,male,180,74
Asha,Herzog,1984-07-27,Arizona,female,192,78
Vinnie,Weissnat,1968-07-31,Maryland,female,166,103
Ahmad,Reilly,1975-02-23,Mississippi,female,169,85
Amie,Dickinson,1978-10-17,NorthCarolina,male,189,93
Brayan,Stiedemann,1984-01-21,Hawaii,female,187,152
Kirk,Hamill,1970-10-21,SouthDakota,female,199,115
Nelle,Donnelly,1974-07-20,Arkansas,male,163,54
Adrianna,Kihn,1974-02-01,Utah,male,167,152
Rubie,Balistreri,1973-07-26,Ohio,male,180,129
Milton,O'Keefe,1967-11-23,NewMexico,male,164,85
Wilford,Brekke,1971-10-04,Ohio,female,182,67
Bernard,Muller,1977-09-02,NewJersey,male,173,104
Melvin,Greenfelder,1964-08-09,RhodeIsland,male,153,146
Laurianne,Ziemann,1976-04-21,Alabama,female,180,122
Abdul,Klein,1981-05-28,NewYork,female,200,93
Emmalee,Cormier,1968-11-17,Ohio,male,185,89
Wilfrid,Ferry,1964-08-12,Nebraska,male,174,118
Katheryn,Towne,1989-01-16,Iowa,male,194,156
Edyth,Jakubowski,1987-07-11,Colorado,female,196,113
Nicolas,Macejkovic,1970-10-28,Wisconsin,male,152,145
Paul,Wuckert,1982-08-10,NewHampshire,male,169,105
Jadyn,Haag,1990-08-09,Wisconsin,female,200,156
Sheila,Quigley,1985-10-30,Colorado,female,153,51
Hayley,Bosco,1981-09-19,Mississippi,male,174,117
Lessie,Willms,1982-08-10,Arkansas,female,163,117
Zoey,Williamson,1970-11-10,Kansas,male,200,83
Mafalda,Jacobs,1971-03-13,Tennessee,female,165,137
Faye,Sipes,1978-06-26,Delaware,female,183,123
Liliana,Becker,1969-03-03,Maine,male,197,113
Fay,Bashirian,1970-11-08,WestVirginia,male,196,118
Jeanette,Hintz,1977-06-24,Idaho,female,161,50
Stanley,Monahan,1977-08-11,Illinois,female,185,159
Hilbert,Leuschke,1992-03-29,Florida,female,183,56
Antone,Sanford,1979-12-06,Illinois,male,174,109
Vernon,Robel,1977-01-26,SouthDakota,female,198,140
Cathy,Murazik,1975-04-09,Iowa,male,191,139
Tyree,Eichmann,1974-05-20,Wisconsin,male,151,62
Brayan,Fadel,1988-10-18,Missouri,female,193,133
Sonya,Wunsch,1979-08-18,Mississippi,male,183,125
Beverly,Gleason,1965-11-09,NorthCarolina,female,150,115
Alexandre,Boehm,1980-03-17,Wyoming,female,162,139
Letitia,Buckridge,1982-05-08,Kansas,female,199,105
Leola,Collier,1966-12-19,Mississippi,female,183,66
Elyssa,Thiel,1970-04-17,Arkansas,male,168,118
Frederick,Nienow,1972-01-29,Georgia,male,183,112
Ali,Oberbrunner,1971-11-09,Michigan,male,179,90
Felicity,Bruen,1966-03-06,Ohio,male,190,93
Octavia,Crona,1989-08-07,Nevada,female,191,77
Adrianna,Weimann,1986-11-08,Mississippi,female,174,150
Emanuel,Schuster,1983-11-30,Michigan,male,187,152
Jarrett,Lindgren,1973-01-21,Alabama,male,179,68
Amira,Pouros,1974-12-15,Kansas,female,172,65
Esther,Sipes,1985-02-10,Mississippi,female,165,137
Baby,Haley,1989-07-15,NewJersey,male,160,66
Melyna,Goyette,1980-07-28,NewMexico,female,183,139
Dorris,Bednar,1981-05-21,Hawaii,male,196,93
Amira,Schmidt,1978-04-02,WestVirginia,female,200,70
Junius,Kuhn,1979-04-22,Tennessee,female,158,50
Blaise,Zboncak,1993-03-19,NorthCarolina,female,155,103
Kassandra,Fay,1971-02-02,Mississippi,female,186,73
Jovany,Sporer,1991-06-06,Arkansas,female,196,138
Colt,Yundt,1972-12-09,Minnesota,female,197,77
Giles,Nolan,1993-12-06,Florida,female,172,109
Sadye,Cronin,1988-09-23,NorthDakota,female,154,132
Brenna,Reynolds,1977-04-15,Vermont,female,168,94
Timmy,McLaughlin,1977-06-04,Washington,male,160,85
Cristobal,Schuster,1981-02-27,Missouri,male,171,84
Seth,Feeney,1967-12-16,Maryland,male,150,102
Dayton,Padberg,1977-10-13,NorthCarolina,female,193,113
Sandra,Price,1986-06-24,Oklahoma,male,181,81
Kenneth,Jones,1976-11-02,Georgia,female,165,72
Joanny,Rath,1966-08-16,Kansas,male,157,64
Jodie,Pfannerstill,1972-04-08,NewMexico,female,156,113
Bulah,Stroman,1964-01-07,NewHampshire,male,195,123
Susan,Ortiz,1974-01-16,Washington,female,191,53
Bernardo,Collier,1967-07-15,Mississippi,male,177,77
Consuelo,Kris,1986-09-01,NorthDakota,male,183,122
Jarrell,Purdy,1992-05-14,Hawaii,female,199,124
Ignacio,Zulauf,1980-02-20,Minnesota,male,163,108
Joany,Hermiston,1977-04-14,Vermont,female,153,66
Patsy,O'Reilly,1979-10-26,Alabama,female,153,98
Wilhelmine,Feeney,1969-07-30,Texas,male,194,114
Julia,Borer,1977-09-27,Delaware,female,196,128
Adolphus,Kessler,1977-06-30,Wyoming,male,175,117
Era,Wehner,1989-07-19,Arizona,male,193,96
Amya,Kunze,1980-05-28,Maine,female,179,157
Easton,Cummerata,1993-11-23,Kansas,male,182,119
Kaley,Williamson,1987-12-13,Texas,female,200,115
Cathy,Frami,1968-07-15,NewMexico,male,192,146
Eleanore,Pfannerstill,1973-05-28,NorthCarolina,female,162,153
Sincere,Harris,1991-05-08,Texas,female,197,160
Paris,Luettgen,1975-03-23,RhodeIsland,female,192,146
Gage,Okuneva,1984-01-11,Colorado,male,193,137
Foster,Heidenreich,1964-10-23,NewHampshire,female,172,83
Roscoe,Olson,1988-06-23,WestVirginia,male,185,66
Destany,Bosco,1985-12-10,Vermont,male,200,130
Viviane,Hauck,1989-04-22,Maine,female,177,89
Cooper,Bailey,1990-04-10,Michigan,male,186,89
Nelson,Nienow,1979-05-31,SouthDakota,male,179,70
Zander,Borer,1980-11-27,Missouri,male,199,96
Lesly,Jenkins,1985-06-14,Pennsylvania,male,176,89
Rudolph,Ebert,1989-05-23,Maryland,male,175,70
Brando,Pfeffer,1964-03-27,Indiana,female,152,53
Luz,Kuphal,1982-08-09,Montana,male,166,103
Kendall,Kuhic,1973-12-10,California,male,159,70
Kyler,Bayer,1987-05-12,NewJersey,male,174,69
Garrison,Wyman,1974-05-27,Oregon,male,188,128
Katherine,Weissnat,1981-05-24,Indiana,female,182,98
Aric,Prosacco,1981-07-24,NewMexico,male,156,52
Josefina,Pfeffer,1976-08-06,WestVirginia,male,173,160
Reese,Kuhlman,1970-05-31,RhodeIsland,female,188,107
Leda,Keebler,1964-02-22,Texas,female,151,50
Lyda,Keebler,1972-11-12,Mississippi,male,158,56
Melba,Swaniawski,1983-04-17,SouthCarolina,male,155,92
Vallie,Jewess,1976-04-17,Massachusetts,female,168,113
Shyanne,Ritchie,1971-05-24,SouthDakota,female,188,57
Oma,King,1974-04-09,Nevada,female,193,140
Liana,Bernhard,1981-06-05,WestVirginia,female,166,100
Providenci,Stiedemann,1990-01-21,Ohio,male,157,114
Kamille,Rice,1981-09-26,Texas,male,158,54
Abelardo,Adams,1991-07-12,Wisconsin,female,180,137
Justina,Okuneva,1970-12-27,Virginia,female,169,140
Hildegard,Wiegand,1969-07-26,Nevada,female,167,159
Arnulfo,Haag,1981-05-11,Iowa,female,168,61
Ruthie,Bergnaum,1974-04-12,Oregon,female,192,101
Henri,Eichmann,1983-10-17,California,female,176,72
Muhammad,Kemmer,1987-11-04,Tennessee,male,168,56
Madonna,Koepp,1993-11-30,Massachusetts,female,197,93
Josefa,Feeney,1987-05-29,Michigan,male,197,110
Colleen,Gleichner,1974-05-03,Colorado,female,198,127
Percy,Haley,1981-05-23,Minnesota,male,199,82
Sibyl,Zboncak,1976-09-05,Kansas,male,175,124
Buster,Price,1987-09-30,Wyoming,male,152,51
Rickey,Quitzon,1993-07-02,NewHampshire,male,182,91
Verda,Heidenreich,1981-07-31,Nebraska,female,182,73
Agustin,Witting,1978-01-25,NewJersey,female,159,131
Isidro,Kutch,1977-05-12,Utah,female,191,60
Bernita,Witting,1968-09-05,Montana,male,163,52
Stacy,Metz,1968-10-03,NewYork,female,158,155
Melissa,Lehner,1973-05-29,Maryland,female,182,149
Fritz,Lowe,1969-09-14,Virginia,female,158,146
Jaqueline,Gibson,1964-04-12,Nebraska,female,174,90
Kameron,Cruickshank,1985-03-25,Florida,female,180,95
Yolanda,Goldner,1984-07-30,SouthCarolina,female,186,56
Anais,Prosacco,1965-08-31,Delaware,male,197,125
Trycia,Reynolds,1966-12-20,Montana,female,181,147
Trace,Hickle,1984-12-03,Wyoming,female,175,126
Isaias,Franecki,1985-12-24,Florida,female,172,155
Berneice,Larson,1966-07-26,Arizona,female,189,62
Kenneth,Gusikowski,1979-06-06,Louisiana,female,183,133
Victoria,Predovic,1983-04-10,Colorado,female,162,151
Margarita,Ernser,1969-12-03,NewYork,male,155,93
Melba,Bernier,1968-06-24,Kansas,male,182,160
Jerod,Wunsch,1980-01-28,Delaware,female,159,129
Felipe,Funk,1987-05-22,Minnesota,male,156,122
Wyman,Reichert,1981-06-15,Illinois,male,163,80
Elisha,Abbott,1974-07-23,WestVirginia,female,156,135
Twila,Willms,1981-02-01,Alabama,female,155,74
Daron,Ortiz,1985-06-22,Oregon,female,154,50
Candice,Renner,1980-07-16,Louisiana,female,152,123
Shanie,McLaughlin,1975-12-22,Arizona,female,195,149
Shany,Paucek,1993-01-18,NewJersey,female,180,50
Janice,Schulist,1964-02-25,RhodeIsland,female,184,121
Derek,Feil,1993-03-12,RhodeIsland,female,158,142
Lafayette,Heaney,1991-02-21,NewHampshire,male,186,155
Georgiana,Runolfsson,1985-07-05,Minnesota,female,198,73
Kamryn,Bradtke,1985-01-07,NorthDakota,male,152,88
Susanna,Kirlin,1982-09-26,Vermont,female,192,99
Dortha,Feil,1981-03-02,Indiana,female,180,110
Myron,Kozey,1984-08-24,Nebraska,male,173,115
Bud,McCullough,1993-01-20,Idaho,male,153,103
Antonette,Fritsch,1970-04-01,Montana,male,180,59
Brendon,Hahn,1983-01-28,Pennsylvania,female,177,136
Jaylan,Sporer,1981-02-06,Missouri,female,173,155
Vincent,Goyette,1990-01-23,Colorado,female,155,124
Melany,McGlynn,1972-02-21,Iowa,female,171,118
Alan,Waters,1987-04-15,Colorado,male,200,123
Nikki,Murray,1974-10-11,NewJersey,female,167,106
Titus,Kuphal,1992-03-18,Vermont,male,196,60
Trace,Buckridge,1985-02-14,Louisiana,female,175,110
Donny,Heaney,1969-09-16,Michigan,male,187,118
Verda,O'Conner,1988-02-14,Pennsylvania,male,193,75
Ted,Stamm,1981-05-21,Mississippi,male,200,134
Armand,Braun,1967-08-17,WestVirginia,male,188,75
Vance,Haag,1984-02-01,Maryland,female,168,87
Antonietta,Stehr,1979-04-01,Vermont,male,197,134
Amparo,Strosin,1987-03-04,Utah,female,185,133
Kasandra,Hoppe,1967-01-17,Oklahoma,male,191,61
Leanne,Rath,1975-01-03,Nevada,female,169,52
Lacy,Kihn,1993-12-17,NewJersey,male,175,107
Kayleigh,Shanahan,1985-06-12,Utah,female,161,77
May,Dietrich,1979-04-15,Oregon,female,170,61
Laverne,Williamson,1965-04-06,Wyoming,female,185,60
Romaine,Hoeger,1991-05-14,Wisconsin,female,188,145
Devon,Moore,1987-04-25,Massachusetts,male,188,75
Fredrick,Deckow,1975-07-05,Wyoming,male,171,67
Nicola,Kunze,1991-05-19,Arizona,female,186,144
Roel,Cormier,1971-08-25,NewJersey,female,184,124
Belle,Simonis,1974-12-18,Illinois,female,156,57
Alysson,Cummerata,1991-04-06,Georgia,male,184,113
Pamela,Keebler,1975-06-28,SouthDakota,female,189,137
Manuel,Harber,1971-09-24,NorthDakota,female,175,72
Mallie,Stark,1969-01-28,Arizona,female,172,148
Craig,Runolfsdottir,1985-11-24,Vermont,female,157,120
Akeem,Okuneva,1984-06-29,Washington,female,154,93
Niko,Champlin,1987-12-30,Montana,male,168,140
Kirstin,Anderson,1979-09-21,Kentucky,female,169,109
Simone,Feeney,1989-02-02,Montana,female,159,72
Milford,Murray,1986-09-05,Vermont,female,153,86
Asa,Bogan,1973-09-22,Michigan,male,200,51
Madilyn,Jacobs,1972-10-10,RhodeIsland,male,171,137
Newton,Simonis,1986-02-23,Nevada,male,155,81
Denis,Wiza,1968-12-03,Mississippi,male,196,131
Wade,Reichert,1975-11-13,Utah,female,190,147
Eugenia,Hodkiewicz,1964-12-14,California,male,177,157
Aiden,Gislason,1988-08-01,Virginia,male,176,85
Alexandrine,Hermiston,1969-06-10,Hawaii,female,183,129
Zella,Shields,1968-10-27,Missouri,female,182,148
Adella,Miller,1987-02-13,NewHampshire,male,165,156
Gladyce,Hilll,1981-04-24,Vermont,male,151,154
Audie,Rodriguez,1989-10-06,Massachusetts,female,167,90
Leone,Haag,1991-12-24,Kansas,male,171,103
Kianna,Kling,1986-09-02,Kentucky,female,186,92
Gudrun,Bechtelar,1968-09-12,Illinois,female,195,69
Kira,O'Connell,1968-04-26,Alabama,female,186,130
Muhammad,Blick,1982-11-13,Missouri,male,196,77
Hubert,Nienow,1993-09-23,Colorado,female,197,149
Deanna,Nolan,1983-06-23,NorthDakota,female,174,110
Furman,Gleichner,1966-01-09,Alabama,female,162,144
Gia,Wiza,1965-12-21,Florida,female,167,147
Kris,Hartmann,1966-03-04,Vermont,female,172,74
Benny,Kemmer,1988-10-15,Missouri,male,166,121
Mckayla,Jones,1964-01-28,Arizona,female,175,90
Gayle,Jast,1969-03-20,Ohio,female,171,79
Julianne,Schuster,1974-06-10,Minnesota,female,160,158
Enola,Schaden,1965-04-17,Oklahoma,female,198,148
Burdette,Kertzmann,1969-08-05,Wisconsin,female,151,141
Oceane,Nikolaus,1972-02-19,Kansas,male,192,84
Blaise,Mills,1984-05-21,Montana,male,175,111
Shawna,Grant,1985-05-16,NewJersey,male,157,148
Columbus,Wiza,1986-05-17,NewJersey,male,187,86
Rolando,Tromp,1978-01-03,Texas,female,184,123
Sven,Will,1966-07-28,Vermont,male,155,68
Wyatt,Jewess,1978-10-23,Maryland,female,197,115
Eric,Muller,1967-11-19,Montana,female,196,138
Vernie,Kihn,1967-10-11,Connecticut,male,182,133
Santino,Predovic,1977-07-18,Arizona,male,180,137
Sherman,Reinger,1986-01-30,Missouri,female,173,118
Sherwood,Champlin,1979-03-31,Wisconsin,male,193,63
Roman,Hoppe,1973-12-08,Maine,male,155,79
Cierra,Wintheiser,1969-04-02,Pennsylvania,male,162,160
Kaleb,Reinger,1992-02-10,NorthCarolina,male,180,124
Jasper,Sporer,1976-04-20,Oregon,male,180,136
Ashton,Dooley,1965-07-19,Illinois,female,198,128
Alf,Glover,1977-09-14,NewHampshire,female,179,118
Brenda,Von,1989-04-05,Maine,male,158,77
Otho,Gerhold,1985-04-28,Kansas,male,183,143
Ottis,Turcotte,1973-04-15,Illinois,female,199,83
Kaleigh,Casper,1987-07-10,NewHampshire,female,179,67
Nick,Jast,1989-11-23,Virginia,male,187,80
Vella,Gibson,1989-12-12,NorthDakota,male,190,107
Einar,Tremblay,1988-08-01,RhodeIsland,female,159,62
Claudine,Barton,1976-02-26,Michigan,female,161,128
Loren,Hagenes,1979-08-16,Vermont,male,173,122
Velma,Collins,1989-07-10,Arkansas,female,163,75
Tess,Daugherty,1972-11-28,Montana,male,194,94
Toni,Wyman,1993-11-07,Nebraska,male,161,55
Kaylah,Steuber,1977-02-17,Kansas,male,169,51
Alberta,Stehr,1969-07-26,Iowa,male,157,115
Anabelle,Hessel,1985-01-05,Texas,female,151,86
Joey,Smith,1986-07-06,Arkansas,male,160,64
Rhiannon,Rau,1982-05-22,Utah,male,168,85
Octavia,Champlin,1990-09-25,Mississippi,male,159,111
Calista,Bartell,1966-10-26,Oregon,female,190,50
Edmond,Schoen,1970-10-14,Washington,female,155,79
Rogelio,Kozey,1974-09-24,Georgia,male,152,64
Lexi,Lockman,1982-01-23,Tennessee,male,161,89
Glenna,Turner,1988-06-07,Mississippi,male,163,131
Guillermo,Weissnat,1981-07-26,Alaska,male,179,147
Hailie,Weimann,1982-10-19,Wyoming,male,153,151
